Title,Form-factor,Category of BCI,reality factor,neurafictionality,neuroptimism,BCI forecast,Near Future,prediction,,Name of BCI,Image,Cover,Date,Type of Media (tentative),Utopia/Dystopia - tech-wise,Level of invasiveness,Description,Keywords,Author/Directed by,Distributed by,Production Company,Link,Publisher (Novels/Games),Quotes,Notes,Year,Utopia/Dystopia in the media,years since publication,RF: advertisement,RF: communication,RF: consciousness,RF: control of the user,RF: dreams,RF: emotions,RF: knowledge upload,RF: linking,RF: memory,RF: perception,RF: practical,RF: reading thoughts,RF: reality,RF: recording brain activity,RF: rehabilitation,RF: robot/object control,RF: sensation,RF: stimulation,RF: storage,RF: telepathy,RF: termination,RF: tracking,RF: transfer,prediction,BCIF: communication,NF: communication,TO: communication,reality factor check,,,,,,,,,,,,,,Category,reality factor,neurafictionality,neuro-optimism,BCI forecast,,Total Works
Halo Alpha,implant,"knowledge upload, linking, storage",0.152542373,0.107784431,0.706586826,118,100,2121,,Command Neural Interface,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Command_Neural_Interface.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/H2A_Cinematic_LordHood-CommandNeuralInterface.jpeg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/096ba52a_ab62_4936_bc27_fbe044e2e979.jpg,28-Jun-04,"BOOK, TV Series, game","dystopia, utopia",Invasive,"Command Neural Interface or CNI implants are implanted in the brain of every UNSC ship commander. In addition to the duties of a standard Neural Interface, they also have several purposes specific to a ship commander.
Once installed, they cannot be removed without killing the host or doing permanent damage to the host's brain without sophisticated surgery that is designed for this purpose. Their main use is the storage of data codes, NAV data, and also for receiving telemetry from outside sources. AIs can access the lace with the owner's consent and retrieve data for use. The owner of the lace can also receive data about the ship they command, sent directly to their retinas courtesy of the shipboard AI.","access, military, network","Bungie, Joseph Staten",XBox,Microsoft Game Studios,,,,,2004,,18,,0.152542373,,,,,0.152542373,0.152542373,,0.152542373,,,,,,,,,0.152542373,,,,,2121,118,0.107784431,0.706586826,0.152542373,,,,,,,,,,,,,,,,,,,,
Dr. Brain,helmet,"linking, memory",0.00990099,0.006666667,0.673333333,101,100,2121,,Brain Sync,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/images-7.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Dr_Brain_Photo_010604.jpg.photo_thumbnail_show_home_large.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/5de87976-5fab-4093-bf72-215e45116f18_578ff6f4.jpg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/images-6.jpeg,25-Jun-21,"TV Series, webtoon","dystopia, utopia",Non-invasive,Hacking into the brains of the deceased in order to go through their memories to solve their murders,memories,"Hongjacga, Kim Jee-woon, Kim Jin A, Koh YoungJae",Apple Inc.,"Bound Entertainment, Dark Circle Pictures, Kakao Entertainment, StudioPlex",,,,,2021,,1,,0.00990099,,,,,,0.00990099,0.00990099,0.00990099,,,,,,,,,,,,,,2121,101,0.006666667,0.673333333,0.00990099,,,,,,,,,,,,,,,,,,,,
Tales of the Unusual,helmet,reality,0.127906977,0.128654971,1.005847953,172,150,2171,,Marriage Simulation System,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-03-14_at_8.40.43_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-03-14_at_8.41.12_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-03-14_at_8.40.37_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-03-14_at_8.40.20_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-03-14_at_8.39.28_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-03-14_at_8.39.03_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-03-14_at_8.39.01_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-03-14_at_8.39.00_AM.png",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/tales-of-the-unusual.jpg,14-Mar-00,Movie,"dystopia, utopia",Non-invasive,"Virtual reality simulation machine that projects prediction of the marriage between two people into their brain. It is watched as a movie. The creators of the machine warn the couples that the final ‘rendering’, ‘movie’ - is not final version of the events as it can change based on one’s feelings and actions.",VR,"Hisao Ogura, Mamoru Hoshi, Masayuki Ochiai, Masayuki Suzuki",Toho,"Fuji Television, Pony Canyon, Toho (Japan)",,,,,2000,,22,,,,,,,,,,0.127906977,,,0.127906977,,,,,,,,,,,2171,,,,0.127906977,,,,,,,,,,,,,,,,,,,,
"America Dad, Who Smarted","deep brain stimulation, implant",knowledge upload,0.006622517,0.006666667,1.006666667,151,150,2171,,,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-03-10_at_2.02.23_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-03-10_at_2.04.01_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-03-10_at_2.04.10_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-03-10_at_2.04.19_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-03-10_at_2.04.27_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-03-10_at_2.05.03_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-03-10_at_2.05.11_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-03-10_at_2.05.24_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-03-10_at_2.05.35_PM.png",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/American_Dad!_(season_18).jpg,10-Mar-21,sitcom,"dystopia, utopia",Invasive,A procedure to increase intelligence levels. The effect can be voided by smoking weed.,"enhancement, knowledge","Joe Chandler, Matt Weitzman, Mike Barker, Nic Wegener, Seth MacFarlane, Zachary Rosenblatt",20th Television,"20th Television, 20th Television Animation, Fuzzy Door Productions, Underdog Productions",,,,,2021,,1,,,,,,,0.006622517,,,0.006622517,,,,,,,,,,,,,,2171,,,,0.006622517,,,,,,,,,,,,,,,,,,,,
Guardians,implant,"exoskeleton, generating electricity, robot/object control",0.024390244,0.032467532,1.331168831,205,200,2221,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/cover-2.jpg,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Zaschitniki_film_poster.jpg,10-Mar-17,Movie,"dystopia, utopia",Invasive,Repair of a damaged body into a cyborg with a brain implant which gives the power to generate electricity and control machines.,"military, violence","Andrei Gavrilov, Sarik Andreasyan",Turbo Films,"Argunov Studio, Enjoy Movies, Renovatio",,,,,2017,,5,,0.024390244,,,,,,,,,,,,,,0.024390244,,,,,,,,2221,205,0.032467532,1.331168831,0.024390244,,,,,,,,,,,,,,,,,,,,
InControl,stand-alone electrodes,"control of the user, manipulation",0.032258065,0.032467532,1.006493506,155,150,2171,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/maxresdefault-2.jpg,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/incontrol-912973099-large.jpg,10-Mar-17,Movie,dystopia,Non-invasive,"Device that allows to take control of others’ bodies, and experience the world through someone else",manipulation,Kurtis David Harder,,"Digital Interference Productions, Umbrella Collective Films",,,,,2017,,5,,0.032258065,,0.032258065,,,,,,0.032258065,,,,,,,0.032258065,,,,,,,2171,155,0.032467532,1.006493506,0.032258065,,,,,,,,,,,,,,,,,,,,
"Futurama, Fun on a Bun",tool,memory,0.074074074,0.062893082,0.849056604,135,125,2146,,,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Futurama_S07E08.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/x1080.jpeg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/p9198467_b_v13_ab.jpg,10-Mar-12,sitcom,"dystopia, utopia",Non-invasive,machine looking like hair color processor used to delete one’s explicit memories about someone,memories,"Dan Vebber, Stephen Sandoval",20th Television,"20th Television, The Curiosity Company",,,,,2012,,10,,,,,,,,,0.074074074,0.074074074,,,,,,,,,,,,,,2146,,,,0.074074074,,,,,,,,,,,,,,,,,,,,
Solar Opposites,gun,memory,0.007936508,0.006666667,0.84,126,125,2146,,Memory Zapper,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_8062.jpeg,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/MV5BMWUwMjQ1NzgtNmVkNS00ZWYzLWJmYjQtZjgwM2FhMjA1ZmRhXkEyXkFqcGdeQXVyMDM2NDM2MQ._V1_FMjpg_UX1000_.jpg,10-Mar-21,sitcom,"dystopia, utopia",Non-invasive,Tool to erase memories,memories,"Anthony Chun, J. Michael Mendel, Josh Bycel, Justin Roiland, Mike McMahan, Sydney Ryan",Disney Platform Distribution,"20th Television, 20th Television Animation, Important Science, Justin Roiland's Solo Vanity Card Productions!",,,,,2021,,1,,,,,,,,,0.007936508,0.007936508,,,,,,,,,,,,,,2146,,,,0.007936508,,,,,,,,,,,,,,,,,,,,
Chaos Walking ,virus,reading thoughts,0.21875,0.085889571,0.392638037,64,50,2071,,Noise,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-03-10_at_12.39.22_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/MV5BZjQwNWEzYWMtODAyYy00YjdmLTk3NzctZWQ2ZDJjMmQyOTExXkEyXkFqcGdeQWFybm8._V1_.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Chaos_Walking_Tom_Holland.jpg","Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Knife_of_Never_letting_Go_cover.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/images-6%201.jpeg",10-Mar-08,"Movie, Novel","dystopia, utopia",Non-invasive,"Noise, a virus which causes everyone to see and hear each other's thoughts",telepathy,"Doug Liman, Patrick Ness",Lionsgate,"3 Arts Entertainment, Allison Shearmur Productions, Hercules Film Fund-Bron Creative, Quadrant Pictures, TIK Films",,Walker Books,,,2008,,14,,0.21875,,,,,,,,,,0.21875,,,,,,,,,,,,2071,64,0.085889571,0.392638037,0.21875,,,,,,,,,,,,,,,,,,,,
"Game of Tones, Futurama",tool,"communication, reading thoughts",0.473684211,0.056962025,0.120253165,19,10,2031,,Thoughtspike,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Thoughtspike.jpg,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/71vuNSTiCfL._SY445_.jpg,10-Mar-13,sitcom,"dystopia, utopia",Semi-invasive,"Thoughtspikes appear to be disposable devices that allow the user to communicate without speaking. Thoughtspikes are pointed on one end, and grow into a larger, trumpet-like shape at the other end. To use, you put the pointy end into your forehead, and it speaks your thoughts through the other end (though it has only been seen translating thoughts into English, it may be able to translate thoughts into any language).",communication,"Edmund Fong, Michael Rowe",20th Television,"20th Television, The Curiosity Company",,,,,2013,,9,,0.473684211,,,,,,,,,,0.473684211,,,,,,,,,,,,2031,19,0.056962025,0.120253165,0.473684211,,,,,,,,,,,,,,,,,,,,
Doom Patrol,helmet,"reading thoughts, telepathy",0.852941176,0.280193237,0.328502415,68,10,2031,,Mento-Helmet,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Mento2.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/7187125-7706986040-EMBltEQWwAEq9sh.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/6647805-cf192169-0235-4a25-b98c-bd9df7a8a6d3.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Mento-Helmet_from_X-Men_Vol_1_13_001.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Steven_Dayton_(New_Earth)_003.jpg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/51A6n9aUu3L.jpg,10-Mar-64,comics,"dystopia, utopia",Non-invasive,"A helmet that amplifies one’s own latent psychic powers. While wearing the helmet, Mento has the powers of telepathy, psychokinesis, intangibility, and limited mind control. The helmet has the negative side effect of increasing Mento 's paranoia and dementia. ",telepathy,"Arnold Drake, Bob Haney, Bruno Premiani",,,,DC Comics,,,1964,,58,,0.852941176,,,,,,,,,,0.852941176,,,,,,,,0.852941176,,,,2031,68,0.280193237,0.328502415,0.852941176,,,,,,,,,,,,,,,,,,,,
The Matrix Resurrections,"implant, tank with water","XR, consciousness transfer, reality",0.006622517,0.006666667,1.006666667,151,150,2171,,,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-03-07_at_4.01.06_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-03-07_at_4.00.22_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-03-07_at_4.00.21_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-03-07_at_4.00.18_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-03-10_at_11.24.25_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-03-10_at_11.24.38_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2022-03-07_at_4.00.15_PM.png",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/The_Matrix_Resurrections.jpg,10-Mar-21,Movie,"dystopia, utopia",Invasive,"transfer of the mind of a person from Matrix to real world without use of a pill, another human brain is needed for this procedure",consciousness,"Grant Hill, James McTeigue, Lana Wachowski",Warner Bros. Pictures,"Venus Castina Productions, Village Roadshow Pictures, Warner Bros. Pictures",,,,,2021,,1,,,0.006622517,,,,,,,0.006622517,,,0.006622517,,,,,,,,,,0.006622517,2171,,,,0.006622517,,,,,,,,,,,,,,,,,,,,
Spiderman: No Way Home,,"robot/object control, telepathy",0.006622517,0.006666667,1.006666667,151,150,2171,,Electro,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Spectacularelectro.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/MTV_Electro.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Jamie_Foxx_as_Electro.jpg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/MV5BZWMyYzFjYTYtNTRjYi00OGExLWE2YzgtOGRmYjAxZTU3NzBiXkEyXkFqcGdeQXVyMzQ0MzA0NTM._V1_FMjpg_UX1000_.jpg,1-Jan-21,Movie,"dystopia, utopia",Non-invasive,"Electro made Spider-Man beg by stimulating the bioelectric currents in his brain, and was able to defeat Nate Grey
 by manipulating said currents in Nate's brain to turn his own psionic powers against him. Electro can override any electrically powered device and manipulate it according to his mental commands.",telepathy,"Amy Pascal, Kevin Feige",Sony Pictures Releasing,"Columbia Pictures, Marvel Studios, Pascal Pictures",,,,,2021,,1,,0.006622517,,,,,,,,,,,,,,0.006622517,,,,0.006622517,,,,2171,151,0.006666667,1.006666667,0.006622517,,,,,,,,,,,,,,,,,,,,
Futurama,tool,reading thoughts,0.342105263,0.080246914,0.234567901,38,25,2046,,,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/maxresdefault-2%201.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/180509_3720095_The_Omega_Device_800x450_1229781571980.jpg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Futurama_WildGreenYonder.jpg,17-Nov-09,sitcom,dystopia,Non-invasive,"""Legion of Mad Fellows"", a secret society of tinfoil hat-wearing telepaths",telepathy,"Claudia Katz, Lee Supercinski",20th Century Fox,"Rough Draft Studios, The Curiosity Company",,,,,2009,,13,,0.342105263,,,,,,,,,,0.342105263,,,,,,,,,,,,2046,38,0.080246914,0.234567901,0.342105263,,,,,,,,,,,,,,,,,,,,
The Beyond,exoskeleton,consciousness transfer,0.047619048,0.032467532,0.681818182,105,100,2121,,Human 2.0,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_5602.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_5603.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_5604.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_5608.png",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzE4ZjdjYmRjLTQzZTgtNDFiOS05YTc4LTdkNzgwNjFkYzQ1Yi53ZWJw.jpeg,17-Nov-17,Movie,"dystopia, utopia",Invasive,Human 2.0 was designed to fuse human brains with synthetic bodies to create more robust soldiers.,"consciousness, military",Hasraf Dulull,Gravitas Ventures,,,,,,2017,,5,,,0.047619048,,,,,,,,,,,,,,,,,,,,0.047619048,2121,,,,0.047619048,,,,,,,,,,,,,,,,,,,,
Æon Flux,drug,telepathy,0.253731343,0.102409639,0.403614458,67,50,2071,,,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_5597.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_5598.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_5600.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_5599.png",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/on_Flux_(film).png,17-Nov-05,"Movie, TV Series",utopia,Non-invasive,drug-pill used for telepathic connection ,telepathy,"David Gale, Gale Anne Hurd, Gary Lucchesi, Greg Goodman, Peter Chung",Paramount Pictures,"Lakeshore Entertainment, MTV Films, Valhalla Motion Pictures",,,,,2005,,17,,0.253731343,,,,,,,,,,,,,,,,,,0.253731343,,,,2071,67,0.102409639,0.403614458,0.253731343,,,,,,,,,,,,,,,,,,,,
The 5th Wave,tool,recording brain activity,0.375,0.038709677,0.103225806,16,10,2031,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_5596.png,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/MV5BMjQwOTc0Mzg3Nl5BMl5BanBnXkFtZTgwOTg3NjI2NzE._V1_.jpg,17-Nov-16,Movie,dystopia,Non-invasive,scanner used to detect if the person is infected with the alien ,distance interfacing,"Graham King, Lynn Harris, Matthew Plouffe, Tobey Maguire",Sony Pictures Releasing,"Columbia Pictures, GK Films, LStar Capital, Living Films, Material Pictures",,,,,2016,,6,,,,,,,,,,,0.375,,,0.375,,,,,,,,,,2031,,,,0.375,,,,,,,,,,,,,,,,,,,,
Futurama,"implant, tool",emotions,1,0.113095238,0.113095238,19,0,2021,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Futurama_S05E15__11_minute.png,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Futurama_Volume_4.png,17-Nov-03,sitcom,"dystopia, utopia",Invasive,measuring engagement of the audience while they watch TV show,"emotions, engagement","David X. Cohen, Ken Keeler, Matt Groening",20th Television,"20th Century Fox Television, Rough Draft Studios, The Curiosity Company",,,"Opening subtitle:
'Controlling you through a chip in your butt since 1999'",,2003,,19,,,,,,1,,,,1,,,,,,,,,,,,,,2021,,,,1,,,,,,,,,,,,,,,,,,,,
Foundation ,implant,linking,0.090909091,0.006666667,0.073333333,11,10,2031,,,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-11-17_at_10.52.29_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-11-17_at_10.52.51_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-11-17_at_10.53.22_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-11-17_at_10.53.47_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-11-17_at_10.54.20_AM.png",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Foundation_(TV_series).jpg,17-Nov-21,TV Series,"dystopia, utopia",Invasive,The navigator's brain had to be hardwired into the ship via an implant and could direct a jump with a wish.,piloting,"Dana Goldberg, David Ellison, David S. Goyer",Apple Inc.,"Phantom Four, Skydance Television",,,,,2021,,1,,0.090909091,,,,,,0.090909091,,,,,,,,,,,,,,,,2031,11,0.006666667,0.073333333,0.090909091,,,,,,,,,,,,,,,,,,,,
